evaluation_scope,detection_family,rule_name,threshold_label,true_positives,false_positives,false_negatives,ground_truth_count,detection_count,precision,recall,false_positive_rate,f1_score,evaluated_at
rule,hard_rule,revenue_on_closed_account,z=2.0_iqr=3.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_aum_growth_anomaly,z=2.0_iqr=3.0,1,1958,0,10,1959,0.0005104645227156713,1.0,0.9994895354772844,0.0010204081632653062,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.0_iqr=3.0,5,585,0,5,590,0.00847457627118644,1.0,0.9915254237288136,0.01680672268907563,2026-01-22T00:00:00
overall,all,all,z=2.5_iqr=1.5,32,3205,8,40,3237,0.009885696632684585,0.8,0.9901143033673154,0.019530057979859627,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.5_iqr=1.5,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.5_iqr=1.5,7,3199,8,15,3206,0.002183406113537118,0.4666666666666667,0.9978165938864629,0.004346476249611922,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.5_iqr=1.5,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.5_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.5_iqr=1.5,2,2442,0,10,2444,0.0008183306055646482,1.0,0.9991816693944353,0.001635322976287817,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.5_iqr=1.5,0,640,0,5,640,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.5_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.5_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=2.5_iqr=1.5,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.5_iqr=1.5,5,117,0,5,122,0.040983606557377046,1.0,0.9590163934426229,0.07874015748031496,2026-01-22T00:00:00
overall,all,all,z=2.5_iqr=2.0,32,2763,8,40,2795,0.01144901610017889,0.8,0.9885509838998211,0.02257495590828924,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.5_iqr=2.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.5_iqr=2.0,7,2757,8,15,2764,0.002532561505065123,0.4666666666666667,0.9974674384949349,0.005037783375314861,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.5_iqr=2.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.5_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.5_iqr=2.0,2,2243,0,10,2245,0.0008908685968819599,1.0,0.9991091314031181,0.0017801513128615932,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.5_iqr=2.0,0,397,0,5,397,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.5_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.5_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=2.5_iqr=2.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.5_iqr=2.0,5,117,0,5,122,0.040983606557377046,1.0,0.9590163934426229,0.07874015748031496,2026-01-22T00:00:00
overall,all,all,z=2.5_iqr=3.0,31,2129,9,40,2160,0.014351851851851852,0.775,0.9856481481481482,0.028181818181818183,2026-01-22T00:00:00
detection_family,hard_rule,all,z=2.5_iqr=3.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=2.5_iqr=3.0,6,2123,9,15,2129,0.0028182245185533112,0.4,0.9971817754814467,0.005597014925373134,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=2.5_iqr=3.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=2.5_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=2.5_iqr=3.0,1,1799,0,10,1800,0.0005555555555555556,1.0,0.9994444444444445,0.0011104941699056079,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=2.5_iqr=3.0,0,207,0,5,207,0.0,0.0,1.0,0.0,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=2.5_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=2.5_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=2.5_iqr=3.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
rule,statistical_rule,zscore_revenue_anomaly,z=2.5_iqr=3.0,5,117,0,5,122,0.040983606557377046,1.0,0.9590163934426229,0.07874015748031496,2026-01-22T00:00:00
overall,all,all,z=3.0_iqr=1.5,31,3084,9,40,3115,0.009951845906902087,0.775,0.9900481540930979,0.0196513470681458,2026-01-22T00:00:00
detection_family,hard_rule,all,z=3.0_iqr=1.5,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=3.0_iqr=1.5,6,3078,9,15,3084,0.0019455252918287938,0.4,0.9980544747081712,0.003872216844143272,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=3.0_iqr=1.5,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=3.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=3.0_iqr=1.5,2,2442,0,10,2444,0.0008183306055646482,1.0,0.9991816693944353,0.001635322976287817,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=3.0_iqr=1.5,4,636,0,5,640,0.00625,1.0,0.99375,0.012422360248447204,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=3.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=3.0_iqr=1.5,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=3.0_iqr=1.5,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
overall,all,all,z=3.0_iqr=2.0,31,2642,9,40,2673,0.011597456041900486,0.775,0.9884025439580996,0.022852930335422045,2026-01-22T00:00:00
detection_family,hard_rule,all,z=3.0_iqr=2.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=3.0_iqr=2.0,6,2636,9,15,2642,0.002271006813020439,0.4,0.9977289931869796,0.004516371847948814,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=3.0_iqr=2.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=3.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=3.0_iqr=2.0,2,2243,0,10,2245,0.0008908685968819599,1.0,0.9991091314031181,0.0017801513128615932,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=3.0_iqr=2.0,4,393,0,5,397,0.010075566750629723,1.0,0.9899244332493703,0.019950124688279298,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=3.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=3.0_iqr=2.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=3.0_iqr=2.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
overall,all,all,z=3.0_iqr=3.0,30,2008,10,40,2038,0.014720314033366046,0.75,0.985279685966634,0.028873917228103948,2026-01-22T00:00:00
detection_family,hard_rule,all,z=3.0_iqr=3.0,25,6,0,25,31,0.8064516129032258,1.0,0.1935483870967742,0.8928571428571428,2026-01-22T00:00:00
detection_family,statistical_rule,all,z=3.0_iqr=3.0,5,2002,10,15,2007,0.002491280518186348,0.3333333333333333,0.9975087194818136,0.004945598417408506,2026-01-22T00:00:00
rule,hard_rule,duplicate_account_month,z=3.0_iqr=3.0,5,5,0,5,10,0.5,1.0,0.5,0.6666666666666666,2026-01-22T00:00:00
rule,hard_rule,invalid_fee_rate_high,z=3.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,statistical_rule,iqr_aum_growth_anomaly,z=3.0_iqr=3.0,1,1799,0,10,1800,0.0005555555555555556,1.0,0.9994444444444445,0.0011104941699056079,2026-01-22T00:00:00
rule,statistical_rule,iqr_revenue_anomaly,z=3.0_iqr=3.0,4,203,0,5,207,0.01932367149758454,1.0,0.9806763285024155,0.03791469194312796,2026-01-22T00:00:00
rule,hard_rule,negative_ending_aum,z=3.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,negative_revenue,z=3.0_iqr=3.0,5,0,0,5,5,1.0,1.0,0.0,1.0,2026-01-22T00:00:00
rule,hard_rule,revenue_on_closed_account,z=3.0_iqr=3.0,5,1,0,5,6,0.8333333333333334,1.0,0.16666666666666666,0.9090909090909091,2026-01-22T00:00:00
